Time (t),State Variable (Y_t),Reference State (Y_ref),Error (E_t),Change in Error (ΔE_t),Fuzzy Error Category,Fuzzy ΔE Category,Control Action (V_f),Updated State (Y_t+1),"Lyapunov Function (V(Y,w))"
0,5.613232309591291,6.872700594236813,1.2594682846455214,1.2594682846455214,Positive Small,Positive Large,0.1,5.713232309591291,0.7981301800139661
1,9.921175321563013,9.75357153204958,-0.16760378951343213,-1.4270720741589535,Zero,Negative Large,0.1,10.021175321563012,0.019045515129631433
2,10.151753052562658,8.659969709057025,-1.4917833435056327,-1.3241795539922006,Negative Small,Negative Large,0.1,10.251753052562657,1.1177087719804222
3,8.922191966623428,7.993292420985183,-0.9288995456382452,0.5628837978673875,Negative Small,Positive Small,0.1,9.022191966623428,0.43642718294346916
4,7.006337793657982,5.780093202212183,-1.2262445914457993,-0.29734504580755416,Negative Small,Zero,0.1,7.106337793657982,0.7568378990250376
5,6.415106068523883,5.779972601681013,-0.6351334668428699,0.5911111246029295,Negative Small,Positive Small,0.1,6.515106068523883,0.20669726035192143
6,6.059524318912407,5.290418060840997,-0.7691062580714103,-0.13397279122854044,Negative Small,Zero,0.1,6.159524318912407,0.3007622181023034
7,10.727663335135952,9.330880728874675,-1.3967826062612776,-0.6276763481898673,Negative Small,Negative Small,0.1,10.827663335135952,0.9805008245770236
8,7.004247094152788,8.005575058716044,1.0013279645632558,2.3981105708245334,Positive Small,Positive Large,0.1,7.104247094152788,0.5063288463081964
9,8.498062743552788,8.540362888980226,0.042300145427438096,-0.9590278191358177,Zero,Negative Small,0.1,8.598062743552788,0.005894651151591207
10,3.9877602387574207,5.102922471479012,1.115162232721591,1.072862087294153,Positive Small,Positive Large,0.1,4.08776023875742,0.6267934026443021
11,11.80022129279656,9.849549260809972,-1.9506720319865885,-3.0658342647081795,Negative Large,Negative Large,0.1,11.90022129279656,1.9075606881873428
12,10.938450562748562,9.162213204002109,-1.776237358746453,0.1744346732401354,Negative Large,Zero,0.1,11.038450562748562,1.5825095773032878
13,4.219402798865405,6.061695553391381,1.8422927545259764,3.6185301132724295,Positive Large,Positive Large,-0.6,3.6194027988654045,1.8770212966894546
14,6.731425526098257,5.909124836035503,-0.8223006900627539,-2.6645934445887303,Negative Small,Negative Large,0.1,6.831425526098257,0.3430892124388406
15,7.618015818929832,5.917022549267169,-1.7009932696626633,-0.8786925795999094,Negative Large,Negative Small,0.1,7.718015818929832,1.4516890517188388
16,5.243512595307022,6.521211214797688,1.2776986194906659,2.978691889153329,Positive Small,Positive Large,0.1,5.343512595307022,0.8212568811241767
17,7.895563080371707,7.623782158161189,-0.2717809222105174,-1.5494795417011833,Zero,Negative Large,0.1,7.995563080371706,0.04193243483879966
18,8.821678283562747,7.159725093210579,-1.6619531903521683,-1.3901722681416508,Negative Large,Negative Large,0.1,8.921678283562747,1.386044203460875
19,4.591929615333404,6.456145700990209,1.864216085656805,3.5261692760089733,Positive Large,Positive Large,-0.6,3.991929615333404,1.91765080701079
20,8.848945542599257,8.059264473611897,-0.7896810689873597,-2.6538971546441648,Negative Small,Negative Large,0.1,8.948945542599256,0.31679809535850956
21,4.886865332750412,5.697469303260209,0.8106039705097965,1.6002850394971562,Positive Small,Positive Large,0.1,4.986865332750412,0.33353939850312353
22,8.158308024182212,6.4607232426760905,-1.6975847815061211,-2.5081887520159176,Negative Large,Negative Large,0.1,8.258308024182211,1.4458970452005924
23,8.71604219712993,6.831809216468459,-1.884232980661471,-0.18664819915534991,Negative Large,Zero,0.1,8.81604219712993,1.7801669627062056
24,9.057415877538915,7.28034992108518,-1.7770659564537352,0.10716702420773583,Negative Large,Zero,0.1,9.157415877538915,1.5839817067934143
25,8.822736673594923,8.925879806965067,0.10314313337014447,1.8802090898238797,Zero,Positive Large,0.1,8.922736673594923,0.010319252980705705
